3 ತ್ರಿಮೂರ್ತಿಗಳು - ಬ್ರಹ್ಮಾ, ವಿಷ್ಣು, ಮಹೇಶ್ವರ
3 ತ್ರಿಗುಣಗಳು - ಸತ್ತ್ವ, ರಜಸ್ಸು, ತಮಸ್ಸು
3 ತ್ರಿಸ್ಥಾಯಿಗಳು - ತಾರಸ್ಥಾಯಿ, ಮಧ್ಯಸ್ಥಾಯಿ, ಮಂದ್ರಸ್ಥಾಯಿ
3 ತ್ರಿಸ್ವರಗಳು(ವೇದ) - ಉದಾತ್ತ, ಅನುದಾತ್ತ, ಸ್ವರಿತ
3 ನಾಡಿಗಳು - ಇಡಾ, ಪಿಂಗಲಾ, ಸುಷುಮ್ನಾ
3 ತ್ರಿಕರಣ - ಕಾಯ, ವಾಕ್, ಮನಸ್
3 ತ್ರಿಕರಣ - ತನು, ಮನ, ಧನ
3 ತ್ರಿಪುಟಿ - ಜ್ಞಾತೃ, ಜ್ಞಾನ, ಜ್ಞೇಯ
3 ತ್ರಿಫಲ - ಹರೀತಕೀ, ವಿಭೀತಕೀ, ಆಮಲಕೀ
3 ಅರ್ಥತ್ರಯ - ವಾಚ್ಯ, ಸೂಚ್ಯ, ವ್ಯಂಗ್ಯ
3 ಋಣತ್ರಯ - ದೇವ, ಪಿತೃ, ಋಷಿ
3 ಕರ್ಮತ್ರಯ - ಪ್ರಾರಬ್ಧ, ಸಂಚಿತ, ಆಗಾಮೀ
3 ತಾಪತ್ರಯ - ಅಧಿಭೌತಿಕ, ಅಧಿದೈವಿಕ, ಆಧ್ಯಾತ್ಮಿಕ
3 ಮಾತ್ರಾತ್ರಯ - ಹ್ರಸ್ವ, ದೀರ್ಘ, ಪ್ಲುತ
3 ಶತಕತ್ರಯ - ನೀತಿ, ಶೃಂಗಾರ, ವೈರಾಗ್ಯ
3 ಸತ್ಯತ್ರಯ - ವ್ಯಾವಹಾರಿಕ, ಪ್ರಾತಿಭಾಸಿಕ, ಪಾರಮಾರ್ಥಿಕ
3 ಸಾಧನತ್ರಯ - ದಮ, ದಯಾ, ದಾನ
3 ಬೃಹತ್ತ್ರಯೀ - ಚರಕಸಂಹಿತಾ, ಸುಶ್ರುತಸಂಹಿತಾ, ಅಷ್ಟಾಂಗಹೃದಯ
3 ತ್ರಿವಿಧ ಕರ್ಮ - ವಿಹಿತ, ನಿಯತ, ನಿಷಿದ್ಧ
3 ತ್ರಿವಿಧ ಜಪ - ವಾಚಿಕ, ಉಪಾಂಶು, ಮಾನಸಿಕ
3 ತ್ರಿಕಟು ಮರೀಚ, ಆದ್ರ್ರಕ, ಪಿಪ್ಪಲೀ
3 ತ್ರಿಕಾಲಸವನ ಪ್ರಾತಃ, ಮಾಧ್ಯಂದಿನ, ಸಾಯಂ
3 ತ್ರಿಕೂಟ ವಾಗ್ಭವ, ಕಾಮರಾಜ, ಶಕ್ತಿ
3 ತ್ರಿದೋಷ ವಾತ, ಪಿತ್ತ, ಕಫ
3 ತ್ರಿಲೋಕ ಪೃಥಿವೀ, ಅಂತರಿಕ್ಷ, ದ್ಯುಲೋಕ
3 ತ್ರಿವರ್ಗ ಧರ್ಮ, ಅರ್ಥ, ಕಾಮ
3 ತ್ರಿವಾಹನ ಹಂಸ, ಗರುಡ, ವೃಷಭ
