6 ಋತುಗಳು - ವಸಂತ, ಗ್ರೀಷ್ಮ, ವರ್ಷ, ಶರತ್, ಹೇಮಂತ, ಶಿಶಿರ
6 ಷಡ್ರಸಗಳು - ಉಪ್ಪು, ಹುಳಿ, ಖಾರ, ಕಹಿ, ಸಿಹಿ, ಒಗರು
6 ಷಡ್ವೈರಿಗಳು - ಕಾಮ, ಕ್ರೋಧ, ಲೋಭ, ಮೋಹ, ಮದ, ಮತ್ಸರ
6 ಷಡಂಗ - ಶಿಕ್ಷಾ, ವ್ಯಾಕರಣ, ಛಂದಸ್, ನಿರುಕ್ತ, ಜ್ಯೋತಿಷ, ಕಲ್ಪ
6 ಷಡಂಗ - ಹೃದಯ, ಶಿರಸ್, ಶಿಖಾ, ಕವಚ, ನೇತ್ರತ್ರಯ, ಅಸ್ತ್ರ
6 ಷಡಧ್ವಾ - ವರ್ಣ, ಪದ, ಮಂತ್ರ, ಕಲಾ, ತತ್ತ್ವ, ಭುವನ
6 ಷಡಪ್ಸರಾ - ಘೃತಾಚೀ, ಮೇನಕಾ, ರಂಭಾ, ಉರ್ವಶೀ, ತಿಲೋತ್ತಮಾ, ಸುಕೇಶೀ
6 ಷಡ್ಗುಣ - ಐಶ್ವರ್ಯ, ಧರ್ಮ, ಯಶಸ್, ಶ್ರೀ, ಜ್ಞಾನ, ವೈರಾಗ್ಯ
6 ಷಡ್ದರ್ಶನ - ಸಾಂಖ್ಯ, ಯೋಗ, ನ್ಯಾಯ, ವೈಶೇಷಿಕ, ಮೀಮಾಂಸಾ, ವೇದಾಂತ
6 ಷಡ್ದೋಶ - ನಿದ್ರಾ, ತಂದ್ರಾ, ಭಯ, ಕ್ರೋಧ, ಆಲಸ್ಯ, ದೀರ್ಘಸೂತ್ರತಾ
6 ಷಡ್ಬಾಂಧವ - ಸತ್ಯ, ಜ್ಞಾನ, ಧರ್ಮ, ದಯಾ, ಶಾಂತಿ, ಕ್ಷಮಾ
6 ಷಡ್ಭಾವ - ದಾಸ್ಯ, ವಾತ್ಸಲ್ಯ, ಸಖ್ಯ, ಮಧುರ, ಶಾಂತ, ದಿವ್ಯ
6 ಷಡ್ರಸ - ಮಧುರ, ಆಮ್ಲ, ತಿಕ್ತ, ಲವಣ, ಕಟು, ಕಷಾಯ
6 ಷಣ್ಮತ - ವೈಷ್ಣವ, ಶೈವ, ಶಾಕ್ತ, ಸೌರ, ಗಾಣಪತ್ಯ, ಸ್ಕಾಂದ
6 ನಿತ್ಯಕರ್ಮಷಟ್ಕ - ಸಂಧ್ಯಾ, ಸ್ನಾನ, ಜಪ, ಹೋಮ, ಪಿತೃತರ್ಪಣ, ದೇವತಾರ್ಚನ
6 ದಾರ್ಶನಿಕಷಟ್ಕ - ಕಪಿಲ, ಪತಂಜಲಿ, ಗೌತಮ, ಕಣಾದ, ಜೈಮಿನಿ, ವ್ಯಾಸ
6 ಷಡ್ವಿಧ ಅವಸ್ಥಾ - ಬಾಲ್ಯ, ಕೌಮಾರ್ಯ, ಯೌವನ, ವಾರ್ಧಕ್ಯ, ಜರಾ, ಮರಣ
6 ಷಡ್ವಿಧ ಆಹಾರ - ಚೋಷ್ಯ, ಪೇಯ, ಲೇಹ್ಯ, ಭೋಜ್ಯ, ಭಕ್ಷ್ಯ, ಚವ್ರ್ಯ
6 ಷಡ್ವಿಧ ಹಾಸ - ಸ್ಮಿತಾ, ಹಸಿತ, ವಿಹಸಿತ, ಉಪಹಸಿತ, ಅಪಹಸಿತ, ಅತಿಹಸಿತ
6 ಷಡ್‍ಲಿಂಗಾಃ - ಉಪಕ್ರಮ-ಉಪಸಂಹಾರ, ಅಭ್ಯಾಸ, ಅಪೂರ್ವತಾ, ಫಲ, ಅರ್ಥವಾದ, ಉಪಪತ್ತಿ
